U matrix:
0.83494 0.63932 0.60705 
0.91138 1.18859 1.07452 
0.30764 0.47840 0.60164 
0.75626 0.77426 0.64984 
0.21103 0.19780 0.28177 
0.30436 0.49378 0.51513 
0.88755 0.83276 0.83649 
0.68249 0.68231 0.76949 
0.91115 1.02358 1.04187 
0.17932 0.15840 0.17175 
0.91986 0.77203 1.04854 
0.35535 0.46077 0.48260 
0.91572 0.93045 1.04756 
0.30105 0.44144 0.38414 
0.36630 0.56713 0.55446 
0.93045 1.06497 0.92359 
0.92365 1.11805 1.19661 
0.47487 0.55609 0.51597 
0.41192 0.30583 0.14296 
0.47616 0.31105 0.47155 
0.71483 0.79490 0.55236 
0.45633 0.31392 0.43821 
0.63848 0.81835 0.84329 
0.26284 0.44527 0.47275 
0.07325 0.19613 0.04663 
0.51863 0.48226 0.46778 
0.27043 0.42346 0.37875 
0.23623 0.06292 0.08612 
0.79336 0.58051 0.73921 
0.57738 0.87844 0.69839 
0.53070 0.61401 0.44244 
0.47374 0.68060 0.50578 
0.96309 0.84371 0.77036 
0.43078 0.63797 0.35666 
0.70539 0.75561 0.94799 
0.35135 0.38050 0.18691 
0.44547 0.27649 0.33283 
0.75969 0.64781 0.62488 
0.33448 0.59179 0.61181 
0.49563 0.49586 0.42768 
0.29160 0.27773 0.30004 
0.63057 0.88953 0.64582 
0.59747 0.63887 0.65643 
0.66000 0.80581 0.72123 
0.46126 0.49794 0.56677 
0.65975 0.74226 0.81863 
0.57264 0.40692 0.51554 
0.87621 0.72319 0.87455 
0.87296 0.82155 0.98435 
0.71949 0.66325 0.70194 
0.98232 0.95728 0.95441 
0.45577 0.56146 0.65893 
0.98094 0.71151 0.95347 
0.46770 0.43760 0.52846 
0.58440 0.53826 0.50367 
0.84341 0.54151 0.73061 
0.33322 0.39537 0.32477 
0.79600 0.76066 0.64329 
0.69040 0.74429 0.53568 
0.55619 0.44099 0.57408 
0.42936 0.30575 0.18753 
0.65985 0.73514 0.64302 
0.84771 0.78933 0.66444 
0.71970 0.70327 0.62432 
0.39057 0.34728 0.41193 
0.73616 0.76408 0.73521 
0.74710 0.75820 0.76746 
0.66852 0.62604 0.62307 
0.95475 0.83598 0.94433 
0.92046 0.81677 0.86079 
0.91608 0.72603 0.88379 
1.06552 0.84370 0.88785 
0.52329 0.76357 0.66601 
0.89900 0.69674 0.67265 
0.25520 0.41952 0.22836 
0.49884 0.54527 0.58071 
0.82062 0.73882 0.77851 
0.58666 0.59955 0.80240 
0.40785 0.26989 0.35156 
1.10013 1.08674 0.92417 
0.32237 0.51966 0.39577 
0.89550 0.80046 0.96559 
0.14429 0.41157 0.35222 
0.87035 1.03164 0.86759 
0.95633 1.13105 0.90819 
0.61547 0.59748 0.50151 
0.24780 0.15056 0.22755 
0.25980 0.08977 0.13065 
0.31627 0.55710 0.31740 
0.15290 0.16129 0.11863 
0.49295 0.48949 0.46417 
0.52487 0.42037 0.36378 
0.97326 0.92664 1.07052 
0.82775 0.69256 0.69479 
1.11881 1.01372 0.89049 
0.05653 0.08658 0.18958 
0.78581 0.80646 0.86567 
0.78108 1.05193 0.87344 
0.97016 1.07729 0.97943 
0.38529 0.39729 0.50088 
